"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2021-12-21 08:38:11","rank"
"12/21/2021","7:00","384CI1010001","Abidjan","PM25","UG/M3",117,"U.S. Department of State Ivory Coast - Abidjan",183,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840490354002","NR","PM25","UG/M3",42.9,"Utah Department of Environmental Quality",119,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840490353016","Inland Port","PM25","UG/M3",40.7,"Utah Department of Environmental Quality",114,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840490353015","Utah Tech. Center","PM25","UG/M3",40.2,"Utah Department of Environmental Quality",113,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840490353014","Lake Park","PM25","UG/M3",36.8,"Utah Department of Environmental Quality",104,"2021-12-21 08:38:10",1
"12/21/2021","6:00","466ML1010001","Bamako","PM25","UG/M3",32,"U.S. Department of State Mali - Bamako",93,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840MM0479990","Brewster Mobile","PM25","UG/M3",31,"Washington Department of Ecology",91,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060472510","Merced-M St","PM25","UG/M3",28,"San Joaquin Valley Unified APCD",84,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840180190010","Jeffersonville - Bat","PM25","UG/M3",26.5,"Indiana Dept. of Environmental Management",81,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840490352005","Copper View","PM25","UG/M3",26.6,"Utah Department of Environmental Quality",81,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060195025","Fresno-Pacific","PM25","UG/M3",25.6,"San Joaquin Valley Unified APCD",79,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840160410002","Preston PM25 BAM","PM25","UG/M3",25,"Idaho Department of Environmental Quality",78,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840180890034","East Chicago - Marin","PM25","UG/M3",25,"Indiana Dept. of Environmental Management",78,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840390610014","Carthage","PM25","UG/M3",25.1,"Ohio EPA-DAPC",78,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840390990015","Youngstown State","PM25","UG/M3",23.6,"Ohio EPA-DAPC",75,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410450001","Ontario May Roberts ","PM25","UG/M3",23.7,"Oregon Dept. of Environmental Quality",75,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840170310119","Kingery Near-road #1","PM25","UG/M3",22.6,"Illinois EPA",73,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840420750101","Lebanon","PM25","UG/M3",21.6,"Pennsylvania Dept. of Environmental Protection",71,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840390610042","Lower Price Hill","PM25","UG/M3",20,"Ohio EPA-DAPC",68,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410172002","La Pine Rural Fire D","PM25","UG/M3",20.1,"Oregon Dept. of Environmental Quality",68,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191630017","Buffalo","PM10","UG/M3",78,"Iowa DNR",62,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191032001","Iowa City, Hoover Sc","PM25","UG/M3",17,"Iowa DNR",61,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840061079998","Springville","PM25","UG/M3",17,"Forest Service",61,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840132950004","Rossville-Williams S","PM25","UG/M3",16.7,"Georgia Department of Natural Resources",61,"2021-12-21 08:38:10",1
"12/21/2021","6:00","191130040","PUBLIC HEALTH","PM25","UG/M3",15.7,"Linn Co. Public Health ",59,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840320310031","Reno4","PM25","UG/M3",16,"Washoe County Health District Air Quality Management Division",59,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840421310010","Tunkhannock","PM25","UG/M3",16.1,"Pennsylvania Dept. of Environmental Protection",59,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271230871","St. Paul-Harding H.S","PM25","UG/M3",15,"Minnesota Pollution Control Agency",57,"2021-12-21 08:38:10",1
"12/21/2021","5:00","840480411086","Bryan Finfeather Roa","PM25","UG/M3",14,"Texas Commission on Environmental Quality",55,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530739992","Maple Falls-Azure Wa","PM25","UG/M3",14.2,"Washington Department of Ecology",55,"2021-12-21 08:38:10",1
"12/21/2021","7:00","190450019","Clinton, Chancy Park","PM25","UG/M3",13.6,"Iowa DNR",54,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840421150215","New Milford","PM25","UG/M3",13.4,"Pennsylvania Dept. of Environmental Protection",54,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380650002","Hannover","PM25","UG/M3",13.1,"North Dakota Health",53,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060771003","Stockton - Universit","PM25","UG/M3",13,"California Air Resources Board",53,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530630017","Spokane-E Broadway A","PM25","UG/M3",13,"Washington Department of Ecology",53,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840MM0370181","Cle Elum Mobile","PM25","UG/M3",12.6,"Washington Department of Ecology",52,"2021-12-21 08:38:10",1
"12/21/2021","5:00","840480131090","Von Ormy Highway 16","PM25","UG/M3",12,"Texas Commission on Environmental Quality",50,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840371190048","Friendship Park","PM25","UG/M3",12,"Mecklenburg County Air Quality",50,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191630015","Davenport, 10th & Vi","PM25","UG/M3",11.8,"Iowa DNR",49,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550630012","LACROSSE DOT","PM25","UG/M3",11.4,"Wisconsin DNR",48,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060374010","North Holywood","PM25","UG/M3",11.5,"South Coast AQMD",48,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840420810419","Salladasburg","PM25","UG/M3",11.5,"Pennsylvania Dept. of Environmental Protection",48,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270530962","Minneapolis-Near Roa","PM25","UG/M3",11,"Minnesota Pollution Control Agency",46,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840250251004","Chelsea HP","PM25","UG/M3",11,"Massachusetts Dept. of Environmental Protection",46,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840340210008","Trenton","PM25","UG/M3",11.1,"New Jersey Dept. of Environmental Protection",46,"2021-12-21 08:38:10",1
"12/20/2021","17:00","70119","WINNIPEG-ELLEN-ST.","PM25","UG/M3",10.6,"MANITOBA Department of Health",44,"2021-12-21 08:38:10",1
"12/21/2021","7:00","551330027","WAUKESHA - CLEVELAND","PM25","UG/M3",10.4,"Wisconsin DNR",43,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840040059999","Grand Canyon ozone b","OZONE","PPB",46,"National Park Service",43,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270530963","Minneapolis-Phillips","PM25","UG/M3",10,"Minnesota Pollution Control Agency",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271095008","Rochester","PM25","UG/M3",10,"Minnesota Pollution Control Agency",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840080470003","Black Hawk","OZONE","PPB",45,"Colorado Department of Public Health and Environment",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840160550015","Nursery Rd.","PM25","UG/M3",10,"Idaho Department of Environmental Quality",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840250030008","PittsfieldES","PM25","UG/M3",10,"Massachusetts Dept. of Environmental Protection",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840TT1820013","Lapwai","PM25","UG/M3",10,"Nez Perce Tribe",42,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840350150010","Carlsbad Caverns - B","OZONE","PPB",44,"National Park Service",41,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410270001","Hood River West Side","PM25","UG/M3",9.9,"Oregon Dept. of Environmental Quality",41,"2021-12-21 08:38:10",1
